Date,fund_1,fund_2,fund_3,fund_4,fund_5,fund_6,fund_7,fund_8,fund_9,fund_10
2009/3/31,0.0290 ,0.0010 ,-0.1370 ,-0.1470 ,-0.0640 ,-0.1140 ,-0.1019 ,-0.0308 ,-0.1102 ,0.1067 
2009/6/30,0.4160 ,0.4430 ,0.6600 ,0.6620 ,0.4750 ,0.4910 ,0.4290 ,0.3243 ,0.0381 ,-0.0405 
2009/9/30,0.1920 ,0.2340 ,0.3050 ,0.1570 ,0.2740 ,0.1980 ,0.1004 ,0.2067 ,0.0066 ,0.0776 
2009/12/31,-0.0020 ,-0.0020 ,0.1410 ,-0.0020 ,-0.0020 ,0.0560 ,-0.0106 ,0.0739 ,0.0207 ,0.0668 
2010/3/31,0.0340 ,0.0190 ,0.0920 ,0.0460 ,0.0540 ,0.0180 ,-0.0079 ,0.0322 ,0.0091 ,-0.0242 
2010/6/30,0.0290 ,0.0610 ,0.0940 ,0.0020 ,0.0500 ,0.0040 ,0.0750 ,0.0168 ,0.0278 ,0.1415 
2010/9/30,0.1540 ,0.1620 ,0.1420 ,0.1910 ,0.1830 ,0.1430 ,0.0679 ,0.1220 ,-0.0025 ,0.0145 
2010/12/31,0.0120 ,0.0020 ,-0.0440 ,0.0010 ,-0.0260 ,-0.0190 ,-0.0344 ,-0.0160 ,0.0173 ,0.0608 
2011/3/31,-0.0260 ,-0.0580 ,-0.1470 ,-0.0900 ,-0.0730 ,-0.0490 ,-0.0510 ,-0.0593 ,0.0172 ,0.0085 
2011/6/30,-0.0100 ,-0.0250 ,0.0150 ,0.0490 ,0.0260 ,-0.0270 ,-0.0154 ,-0.0047 ,0.0073 ,0.0494 
2011/9/30,-0.0940 ,-0.0870 ,-0.0520 ,-0.0140 ,-0.0890 ,-0.1070 ,-0.0777 ,-0.0820 ,0.0087 ,0.1917 
2011/12/31,-0.0240 ,-0.0400 ,-0.1350 ,-0.0810 ,-0.0850 ,-0.0730 ,-0.0375 ,-0.0685 ,0.0357 ,0.0489 
2012/3/31,0.1270 ,0.1710 ,0.2000 ,0.1460 ,0.2110 ,0.1780 ,0.1030 ,0.0857 ,0.0363 ,0.0394 
2012/6/30,-0.0060 ,-0.0190 ,0.0040 ,0.0310 ,0.0140 ,-0.0320 ,-0.0181 ,0.0360 ,0.0532 ,0.0391 
2012/9/30,0.0810 ,0.0860 ,0.0960 ,0.1020 ,0.1070 ,0.0930 ,0.0820 ,0.0952 ,0.0221 ,0.0599 
2012/12/31,0.0440 ,0.0380 ,0.0450 ,0.1300 ,0.0540 ,0.0520 ,0.0615 ,0.0325 ,0.0262 ,-0.0272 
2013/3/31,-0.0490 ,-0.0390 ,-0.1580 ,-0.1250 ,-0.0790 ,0.0190 ,-0.0900 ,-0.0175 ,0.0173 ,-0.0274 
2013/6/30,0.0180 ,-0.0060 ,-0.0070 ,-0.0170 ,-0.0310 ,0.0210 ,0.0839 ,0.0288 ,0.0518 ,-0.1548 
2013/9/30,0.0130 ,-0.0110 ,-0.0450 ,-0.0840 ,-0.0430 ,0.1700 ,-0.0075 ,0.0093 ,-0.0858 ,0.1606 
2013/12/31,0.1000 ,0.1230 ,0.2490 ,0.1310 ,0.1950 ,0.1630 ,0.0973 ,0.1453 ,0.0141 ,-0.1982 
2014/3/31,0.0660 ,0.0978 ,0.1021 ,0.0537 ,0.0753 ,0.0360 ,0.0486 ,0.0074 ,0.0185 ,0.0424 
2014/6/30,0.1683 ,0.1669 ,0.3572 ,0.2267 ,0.2292 ,0.1625 ,0.1991 ,0.1314 ,0.0491 ,0.0054 
2014/9/30,0.0558 ,0.0424 ,0.1608 ,0.2216 ,0.0705 ,0.2127 ,0.0458 ,0.0749 ,0.0199 ,-0.0662 
2014/12/31,0.0651 ,0.0393 ,0.1545 ,0.0904 ,0.1166 ,0.0370 ,0.0064 ,0.0256 ,0.0744 ,0.0167 
2015/3/31,0.0297 ,0.0092 ,0.0804 ,0.0254 ,0.0198 ,0.0863 ,0.0405 ,0.0879 ,0.0288 ,-0.0309 
2015/6/30,-0.0166 ,0.0023 ,0.0067 ,-0.0232 ,-0.0331 ,-0.0190 ,-0.0104 ,-0.0247 ,-0.0133 ,0.0133 
2015/9/30,-0.0241 ,-0.0517 ,0.0458 ,0.0073 ,-0.0024 ,0.0867 ,-0.0281 ,0.0051 ,0.0457 ,-0.0166 
2015/12/31,0.0099 ,0.0788 ,0.0582 ,0.0340 ,0.0218 ,0.0050 ,-0.0022 ,-0.0110 ,-0.0083 ,-0.0472 
2016/3/31,-0.0368 ,-0.0241 ,-0.0739 ,-0.0312 ,-0.1075 ,-0.0923 ,-0.0176 ,-0.0528 ,0.0326 ,0.1569 
2016/6/30,0.0631 ,0.0722 ,0.1110 ,0.0221 ,0.0593 ,0.0527 ,0.0468 ,0.0439 ,0.0148 ,0.0508 
2016/9/30,0.0494 ,0.0565 ,0.0742 ,0.0663 ,0.0352 ,0.0283 ,0.0219 ,0.0539 ,0.0632 ,-0.0164 
2016/12/31,-0.0348 ,-0.0173 ,-0.0300 ,-0.0886 ,-0.0697 ,-0.0441 ,-0.0310 ,-0.0460 ,0.0285 ,-0.1132 
2017/3/31,0.1157 ,0.0949 ,0.1626 ,0.1296 ,0.1497 ,0.1223 ,0.0851 ,0.1114 ,-0.0113 ,0.0224 
2017/6/30,0.0405 ,0.0147 ,0.0483 ,0.0550 ,0.0460 ,0.0403 ,0.0289 ,0.0377 ,0.0452 ,-0.0047 
2017/9/30,0.0490 ,0.0323 ,-0.0148 ,0.0515 ,0.0254 ,0.0116 ,0.0208 ,0.0880 ,-0.0034 ,0.0314 
2017/12/31,0.0902 ,0.0613 ,0.1891 ,0.1550 ,0.1423 ,0.1060 ,0.0396 ,0.0399 ,-0.0223 ,-0.0199 
2018/3/31,-0.0487 ,-0.0523 ,-0.1200 ,-0.0528 ,-0.0800 ,-0.0429 ,-0.0181 ,-0.0323 ,0.0145 ,0.0496 
2018/6/30,0.0254 ,0.0333 ,-0.0891 ,0.0042 ,-0.0260 ,-0.0054 ,0.0265 ,0.0223 ,-0.0055 ,-0.0196 
2018/9/30,0.0225 ,0.0219 ,-0.0797 ,-0.0251 ,0.0214 ,0.0100 ,0.0128 ,-0.0218 ,0.0129 ,-0.0006 
2018/12/31,-0.0064 ,0.0007 ,0.0128 ,0.0425 ,0.0703 ,-0.0550 ,0.0005 ,-0.0093 ,0.0495 ,0.0349 
2019/3/31,0.0374 ,0.0293 ,0.0586 ,0.0594 ,0.0399 ,0.0538 ,0.0316 ,0.0423 ,0.0235 ,-0.0029 
2019/6/30,0.0189 ,-0.0077 ,-0.0230 ,0.0273 ,0.0044 ,-0.0090 ,-0.1009 ,0.0449 ,0.0391 ,0.0870 
2019/9/30,-0.0256 ,-0.0811 ,-0.0753 ,-0.0019 ,-0.0680 ,-0.0451 ,-0.0636 ,-0.0007 ,0.0228 ,0.1197 
2019/12/31,0.0611 ,0.0604 ,0.0615 ,0.0672 ,0.0619 ,0.0854 ,0.0579 ,0.0308 ,0.0064 ,0.0377 
2020/3/31,-0.2866 ,-0.3131 ,-0.2747 ,-0.2191 ,-0.3384 ,-0.2764 ,-0.2168 ,-0.1745 ,0.0420 ,0.1111 
2020/6/30,0.2453 ,0.2335 ,0.2549 ,0.1665 ,0.1629 ,0.2481 ,0.1492 ,0.1583 ,0.0418 ,0.1101 
2020/9/30,0.0636 ,0.1000 ,0.2218 ,0.0386 ,0.0754 ,0.0831 ,0.2219 ,0.0525 ,0.0000 ,0.0266 
